Ciphertext,Length,Pseudo-Random Code (Binary)
Ciphertext 1,90,110000101101010001110111110010011000010110101000111011111001001100001011010100011101111100
Ciphertext 2,91,1011010100011101111100100110000101101010001110111110010011000010110101000111011111001001100
Ciphertext 3,105,101101010001110111110010011000010110101000111011111001001100001011010100011101111100100110000101101010001
Ciphertext 4,111,100100110000101101010001110111110010011000010110101000111011111001001100001011010100011101111100100110000101101
Ciphertext 5,31,1111100100110000101101010001110
Ciphertext 6,98,10100011101111100100110000101101010001110111110010011000010110101000111011111001001100001011010100
Ciphertext 7,111,100001011010100011101111100100110000101101010001110111110010011000010110101000111011111001001100001011010100011
Ciphertext 8,55,1000111011111001001100001011010100011101111100100110000
Ciphertext 9,72,110101000111011111001001100001011010100011101111100100110000101101010001
Ciphertext 10,85,1010001110111110010011000010110101000111011111001001100001011010100011101111100100110
Ciphertext 11,29,10110101000111011111001001100
Ciphertext 12,26,11111001001100001011010100
Ciphertext 13,80,11101111100100110000101101010001110111110010011000010110101000111011111001001100
Ciphertext 14,51,111110010011000010110101000111011111001001100001011
Ciphertext 15,25,1111100100110000101101010
Ciphertext 16,40,1001001100001011010100011101111100100110
Ciphertext 17,128,10011000010110101000111011111001001100001011010100011101111100100110000101101010001110111110010011000010110101000111011111001001
Ciphertext 18,24,111100100110000101101010
Ciphertext 19,53,11101111100100110000101101010001110111110010011000010
Ciphertext 20,66,101101010001110111110010011000010110101000111011111001001100001011
Ciphertext 21,105,110101000111011111001001100001011010100011101111100100110000101101010001110111110010011000010110101000111
Ciphertext 22,34,1111100100110000101101010001110111
Ciphertext 23,61,1011111001001100001011010100011101111100100110000101101010001
Ciphertext 24,125,10010011000010110101000111011111001001100001011010100011101111100100110000101101010001110111110010011000010110101000111011111
Ciphertext 25,69,100011101111100100110000101101010001110111110010011000010110101000111
Ciphertext 26,104,10100011101111100100110000101101010001110111110010011000010110101000111011111001001100001011010100011101
Ciphertext 27,28,1010001110111110010011000010
Ciphertext 28,26,10101000111011111001001100
Ciphertext 29,86,11110010011000010110101000111011111001001100001011010100011101111100100110000101101010
Ciphertext 30,91,1100001011010100011101111100100110000101101010001110111110010011000010110101000111011111001
Ciphertext 31,44,11000010110101000111011111001001100001011010
Ciphertext 32,120,100110000101101010001110111110010011000010110101000111011111001001100001011010100011101111100100110000101101010001110111
Ciphertext 33,82,1110010011000010110101000111011111001001100001011010100011101111100100110000101101
Ciphertext 34,29,10101000111011111001001100001
Ciphertext 35,73,1000010110101000111011111001001100001011010100011101111100100110000101101
Ciphertext 36,110,11001001100001011010100011101111100100110000101101010001110111110010011000010110101000111011111001001100001011
Ciphertext 37,81,110111110010011000010110101000111011111001001100001011010100011101111100100110000
Ciphertext 38,46,1000111011111001001100001011010100011101111100
Ciphertext 39,49,1111100100110000101101010001110111110010011000010
Ciphertext 40,124,1000111011111001001100001011010100011101111100100110000101101010001110111110010011000010110101000111011111001001100001011010
Ciphertext 41,99,100011101111100100110000101101010001110111110010011000010110101000111011111001001100001011010100011
Ciphertext 42,94,1010001110111110010011000010110101000111011111001001100001011010100011101111100100110000101101
Ciphertext 43,65,10001110111110010011000010110101000111011111001001100001011010100
Ciphertext 44,117,110010011000010110101000111011111001001100001011010100011101111100100110000101101010001110111110010011000010110101000
Ciphertext 45,43,1100100110000101101010001110111110010011000
Ciphertext 46,112,1101010001110111110010011000010110101000111011111001001100001011010100011101111100100110000101101010001110111110
Ciphertext 47,29,11001001100001011010100011101
Ciphertext 48,116,10100011101111100100110000101101010001110111110010011000010110101000111011111001001100001011010100011101111100100110
Ciphertext 49,81,101010001110111110010011000010110101000111011111001001100001011010100011101111100
Ciphertext 50,29,11101111100100110000101101010
Ciphertext 51,119,10001110111110010011000010110101000111011111001001100001011010100011101111100100110000101101010001110111110010011000010
Ciphertext 52,127,1111100100110000101101010001110111110010011000010110101000111011111001001100001011010100011101111100100110000101101010001110111
Ciphertext 53,86,11111001001100001011010100011101111100100110000101101010001110111110010011000010110101
Ciphertext 54,46,1100100110000101101010001110111110010011000010
Ciphertext 55,126,101000111011111001001100001011010100011101111100100110000101101010001110111110010011000010110101000111011111001001100001011010
Ciphertext 56,120,110111110010011000010110101000111011111001001100001011010100011101111100100110000101101010001110111110010011000010110101
Ciphertext 57,30,101000111011111001001100001011
Ciphertext 58,80,11101111100100110000101101010001110111110010011000010110101000111011111001001100
Ciphertext 59,43,1111001001100001011010100011101111100100110
Ciphertext 60,46,1110010011000010110101000111011111001001100001
Ciphertext 61,113,11100100110000101101010001110111110010011000010110101000111011111001001100001011010100011101111100100110000101101
Ciphertext 62,89,11101111100100110000101101010001110111110010011000010110101000111011111001001100001011010
Ciphertext 63,27,101010001110111110010011000
Ciphertext 64,122,11111001001100001011010100011101111100100110000101101010001110111110010011000010110101000111011111001001100001011010100011
Ciphertext 65,102,111001001100001011010100011101111100100110000101101010001110111110010011000010110101000111011111001001
Ciphertext 66,55,1010100011101111100100110000101101010001110111110010011
Ciphertext 67,24,110010011000010110101000
Ciphertext 68,63,111011111001001100001011010100011101111100100110000101101010001
Ciphertext 69,113,11010100011101111100100110000101101010001110111110010011000010110101000111011111001001100001011010100011101111100
Ciphertext 70,71,10001110111110010011000010110101000111011111001001100001011010100011101
Ciphertext 71,51,110000101101010001110111110010011000010110101000111
Ciphertext 72,67,1000111011111001001100001011010100011101111100100110000101101010001
Ciphertext 73,92,11101111100100110000101101010001110111110010011000010110101000111011111001001100001011010100
Ciphertext 74,102,101000111011111001001100001011010100011101111100100110000101101010001110111110010011000010110101000111
Ciphertext 75,57,110101000111011111001001100001011010100011101111100100110
Ciphertext 76,118,1011010100011101111100100110000101101010001110111110010011000010110101000111011111001001100001011010100011101111100100
Ciphertext 77,101,10100011101111100100110000101101010001110111110010011000010110101000111011111001001100001011010100011
Ciphertext 78,70,1000010110101000111011111001001100001011010100011101111100100110000101
Ciphertext 79,99,100001011010100011101111100100110000101101010001110111110010011000010110101000111011111001001100001
Ciphertext 80,84,110101000111011111001001100001011010100011101111100100110000101101010001110111110010
Ciphertext 81,54,111011111001001100001011010100011101111100100110000101
Ciphertext 82,70,1000010110101000111011111001001100001011010100011101111100100110000101
Ciphertext 83,33,110000101101010001110111110010011
Ciphertext 84,103,1011010100011101111100100110000101101010001110111110010011000010110101000111011111001001100001011010100
Ciphertext 85,29,11111001001100001011010100011
Ciphertext 86,56,11000010110101000111011111001001100001011010100011101111
Ciphertext 87,94,1001001100001011010100011101111100100110000101101010001110111110010011000010110101000111011111
Ciphertext 88,25,1000010110101000111011111
Ciphertext 89,33,100011101111100100110000101101010
Ciphertext 90,54,100001011010100011101111100100110000101101010001110111
Ciphertext 91,123,111011111001001100001011010100011101111100100110000101101010001110111110010011000010110101000111011111001001100001011010100
Ciphertext 92,58,1101010001110111110010011000010110101000111011111001001100
Ciphertext 93,61,1111100100110000101101010001110111110010011000010110101000111
Ciphertext 94,98,10100011101111100100110000101101010001110111110010011000010110101000111011111001001100001011010100
Ciphertext 95,109,1011111001001100001011010100011101111100100110000101101010001110111110010011000010110101000111011111001001100
Ciphertext 96,74,10101000111011111001001100001011010100011101111100100110000101101010001110
Ciphertext 97,118,1100100110000101101010001110111110010011000010110101000111011111001001100001011010100011101111100100110000101101010001
Ciphertext 98,95,11100100110000101101010001110111110010011000010110101000111011111001001100001011010100011101111
Ciphertext 99,28,1100001011010100011101111100
Ciphertext 100,89,10011000010110101000111011111001001100001011010100011101111100100110000101101010001110111
Ciphertext 101,69,100110000101101010001110111110010011000010110101000111011111001001100
Ciphertext 102,25,1100100110000101101010001
Ciphertext 103,65,11100100110000101101010001110111110010011000010110101000111011111
Ciphertext 104,116,11000010110101000111011111001001100001011010100011101111100100110000101101010001110111110010011000010110101000111011
Ciphertext 105,31,1001100001011010100011101111100
Ciphertext 106,28,1001001100001011010100011101
Ciphertext 107,61,1011010100011101111100100110000101101010001110111110010011000
Ciphertext 108,101,11111001001100001011010100011101111100100110000101101010001110111110010011000010110101000111011111001
Ciphertext 109,97,1111001001100001011010100011101111100100110000101101010001110111110010011000010110101000111011111
Ciphertext 110,27,101101010001110111110010011
Ciphertext 111,80,10000101101010001110111110010011000010110101000111011111001001100001011010100011
Ciphertext 112,112,1111100100110000101101010001110111110010011000010110101000111011111001001100001011010100011101111100100110000101
Ciphertext 113,76,1001100001011010100011101111100100110000101101010001110111110010011000010110
Ciphertext 114,94,1110010011000010110101000111011111001001100001011010100011101111100100110000101101010001110111
Ciphertext 115,105,111011111001001100001011010100011101111100100110000101101010001110111110010011000010110101000111011111001
Ciphertext 116,108,111100100110000101101010001110111110010011000010110101000111011111001001100001011010100011101111100100110000
Ciphertext 117,57,100110000101101010001110111110010011000010110101000111011
Ciphertext 118,84,110010011000010110101000111011111001001100001011010100011101111100100110000101101010
Ciphertext 119,58,1100001011010100011101111100100110000101101010001110111110
Ciphertext 120,104,11100100110000101101010001110111110010011000010110101000111011111001001100001011010100011101111100100110
Ciphertext 121,110,10100011101111100100110000101101010001110111110010011000010110101000111011111001001100001011010100011101111100
Ciphertext 122,104,10001110111110010011000010110101000111011111001001100001011010100011101111100100110000101101010001110111
Ciphertext 123,39,100100110000101101010001110111110010011
Ciphertext 124,78,111011111001001100001011010100011101111100100110000101101010001110111110010011
Ciphertext 125,78,110101000111011111001001100001011010100011101111100100110000101101010001110111
Ciphertext 126,83,10100011101111100100110000101101010001110111110010011000010110101000111011111001001
Ciphertext 127,106,1001100001011010100011101111100100110000101101010001110111110010011000010110101000111011111001001100001011
Ciphertext 128,112,1001001100001011010100011101111100100110000101101010001110111110010011000010110101000111011111001001100001011010
Ciphertext 129,46,1100100110000101101010001110111110010011000010
Ciphertext 130,95,10001110111110010011000010110101000111011111001001100001011010100011101111100100110000101101010
Ciphertext 131,67,1010100011101111100100110000101101010001110111110010011000010110101
Ciphertext 132,87,111001001100001011010100011101111100100110000101101010001110111110010011000010110101000
